KP_1000_strongly_correlated
capacity	252709
nb_items	1000
item	value	weight
0	35	25
1	679	669
2	713	703
3	201	191
4	996	986
5	710	700
6	181	171
7	45	35
8	965	955
9	829	819
10	624	614
11	627	617
12	807	797
13	344	334
14	269	259
15	57	47
16	276	266
17	349	339
18	749	739
19	893	883
20	580	570
21	593	583
22	843	833
23	578	568
24	456	446
25	737	727
26	657	647
27	66	56
28	98	88
29	451	441
30	155	145
31	816	806
32	199	189
33	469	459
34	668	658
35	155	145
36	68	58
37	626	616
38	336	326
39	953	943
40	338	328
41	41	31
42	323	313
43	474	464
44	494	484
45	416	406
46	243	233
47	149	139
48	17	7
49	423	413
50	537	527
51	136	126
52	502	492
53	403	393
54	975	965
55	785	775
56	666	656
57	886	876
58	652	642
59	37	27
60	15	5
61	392	382
62	607	597
63	811	801
64	544	534
65	730	720
66	971	961
67	816	806
68	131	121
69	119	109
70	784	774
71	571	561
72	567	557
73	355	345
74	47	37
75	480	470
76	538	528
77	940	930
78	87	77
79	53	43
80	987	977
81	564	554
82	215	205
83	195	185
84	882	872
85	663	653
86	66	56
87	149	139
88	480	470
89	749	739
90	482	472
91	204	194
92	501	491
93	232	222
94	321	311
95	94	84
96	553	543
97	483	473
98	326	316
99	822	812
100	31	21
101	280	270
102	14	4
103	993	983
104	280	270
105	100	90
106	832	822
107	517	507
108	84	74
109	828	818
110	470	460
111	528	518
112	541	531
113	633	623
114	721	711
115	531	521
116	299	289
117	98	88
118	990	980
119	969	959
120	947	937
121	85	75
122	189	179
123	642	632
124	53	43
125	239	229
126	848	838
127	853	843
128	345	335
129	133	123
130	289	279
131	626	616
132	444	434
133	494	484
134	976	966
135	175	165
136	1001	991
137	292	282
138	823	813
139	446	436
140	661	651
141	496	486
142	715	705
143	300	290
144	286	276
145	788	778
146	409	399
147	144	134
148	859	849
149	292	282
150	387	377
151	150	140
152	971	961
153	360	350
154	609	599
155	513	503
156	47	37
157	783	773
158	76	66
159	995	985
160	184	174
161	143	133
162	952	942
163	136	126
164	370	360
165	467	457
166	282	272
167	811	801
168	127	117
169	939	929
170	423	413
171	579	569
172	469	459
173	762	752
174	559	549
175	197	187
176	646	636
177	36	26
178	784	774
179	31	21
180	794	784
181	662	652
182	871	861
183	638	628
184	875	865
185	718	708
186	906	896
187	891	881
188	37	27
189	386	376
190	497	487
191	161	151
192	504	494
193	855	845
194	925	915
195	264	254
196	236	226
197	943	933
198	715	705
199	704	694
200	99	89
201	654	644
202	255	245
203	261	251
204	859	849
205	328	318
206	430	420
207	523	513
208	373	363
209	900	890
210	94	84
211	641	631
212	956	946
213	593	583
214	50	40
215	265	255
216	134	124
217	742	732
218	907	897
219	784	774
220	477	467
221	759	749
222	20	10
223	32	22
224	82	72
225	219	209
226	505	495
227	118	108
228	537	527
229	407	397
230	261	251
231	972	962
232	668	658
233	632	622
234	537	527
235	937	927
236	738	728
237	607	597
238	16	6
239	211	201
240	495	485
241	761	751
242	569	559
243	670	660
244	783	773
245	510	500
246	125	115
247	597	587
248	491	481
249	769	759
250	1007	997
251	538	528
252	215	205
253	646	636
254	125	115
255	122	112
256	929	919
257	248	238
258	987	977
259	867	857
260	947	937
261	854	844
262	721	711
263	787	777
264	843	833
265	763	753
266	648	638
267	18	8
268	493	483
269	491	481
270	714	704
271	792	782
272	574	564
273	458	448
274	785	775
275	447	437
276	74	64
277	471	461
278	544	534
279	671	661
280	589	579
281	765	755
282	64	54
283	613	603
284	344	334
285	575	565
286	868	858
287	305	295
288	828	818
289	688	678
290	592	582
291	338	328
292	594	584
293	485	475
294	47	37
295	59	49
296	50	40
297	635	625
298	316	306
299	392	382
300	301	291
301	141	131
302	717	707
303	578	568
304	222	212
305	945	935
306	232	222
307	299	289
308	303	293
309	639	629
310	52	42
311	784	774
312	950	940
313	714	704
314	487	477
315	598	588
316	33	23
317	656	646
318	13	3
319	526	516
320	691	681
321	248	238
322	758	748
323	224	214
324	214	204
325	741	731
326	945	935
327	629	619
328	785	775
329	729	719
330	581	571
331	878	868
332	256	246
333	948	938
334	163	153
335	156	146
336	430	420
337	759	749
338	443	433
339	757	747
340	254	244
341	105	95
342	400	390
343	829	819
344	657	647
345	688	678
346	464	454
347	27	17
348	574	564
349	952	942
350	917	907
351	744	734
352	426	416
353	240	230
354	529	519
355	532	522
356	17	7
357	368	358
358	81	71
359	293	283
360	220	210
361	457	447
362	236	226
363	321	311
364	516	506
365	148	138
366	637	627
367	911	901
368	346	336
369	878	868
370	936	926
371	91	81
372	90	80
373	247	237
374	135	125
375	458	448
376	926	916
377	402	392
378	762	752
379	492	482
380	680	670
381	602	592
382	612	602
383	306	296
384	516	506
385	89	79
386	252	242
387	29	19
388	717	707
389	213	203
390	309	299
391	827	817
392	419	409
393	631	621
394	265	255
395	400	390
396	383	373
397	20	10
398	46	36
399	56	46
400	386	376
401	374	364
402	49	39
403	614	604
404	643	633
405	758	748
406	47	37
407	1006	996
408	406	396
409	669	659
410	204	194
411	319	309
412	222	212
413	921	911
414	695	685
415	303	293
416	981	971
417	935	925
418	893	883
419	954	944
420	510	500
421	604	594
422	449	439
423	442	432
424	567	557
425	623	613
426	733	723
427	485	475
428	350	340
429	922	912
430	633	623
431	871	861
432	893	883
433	106	96
434	561	551
435	604	594
436	267	257
437	291	281
438	248	238
439	735	725
440	912	902
441	16	6
442	293	283
443	975	965
444	667	657
445	351	341
446	120	110
447	631	621
448	958	948
449	15	5
450	512	502
451	340	330
452	792	782
453	440	430
454	403	393
455	408	398
456	280	270
457	714	704
458	321	311
459	655	645
460	706	696
461	949	939
462	647	637
463	948	938
464	139	129
465	111	101
466	225	215
467	858	848
468	615	605
469	100	90
470	285	275
471	453	443
472	887	877
473	369	359
474	654	644
475	984	974
476	37	27
477	172	162
478	958	948
479	478	468
480	525	515
481	429	419
482	729	719
483	734	724
484	143	133
485	365	355
486	551	541
487	741	731
488	330	320
489	694	684
490	556	546
491	789	779
492	31	21
493	669	659
494	947	937
495	433	423
496	108	98
497	998	988
498	748	738
499	367	357
500	96	86
501	864	854
502	189	179
503	951	941
504	556	546
505	596	586
506	316	306
507	958	948
508	280	270
509	756	746
510	716	706
511	177	167
512	852	842
513	891	881
514	411	401
515	231	221
516	1004	994
517	668	658
518	59	49
519	582	572
520	194	184
521	584	574
522	699	689
523	473	463
524	637	627
525	966	956
526	321	311
527	308	298
528	939	929
529	462	452
530	984	974
531	543	533
532	501	491
533	15	5
534	683	673
535	994	984
536	752	742
537	366	356
538	1002	992
539	259	249
540	291	281
541	844	834
542	567	557
543	949	939
544	306	296
545	127	117
546	257	247
547	746	736
548	366	356
549	97	87
550	432	422
551	133	123
552	779	769
553	863	853
554	492	482
555	379	369
556	726	716
557	779	769
558	766	756
559	566	556
560	805	795
561	212	202
562	997	987
563	130	120
564	489	479
565	826	816
566	258	248
567	691	681
568	371	361
569	930	920
570	743	733
571	848	838
572	883	873
573	469	459
574	14	4
575	667	657
576	22	12
577	952	942
578	638	628
579	990	980
580	802	792
581	691	681
582	993	983
583	410	400
584	347	337
585	366	356
586	982	972
587	796	786
588	519	509
589	624	614
590	323	313
591	177	167
592	758	748
593	782	772
594	786	776
595	925	915
596	472	462
597	652	642
598	361	351
599	512	502
600	419	409
601	701	691
602	342	332
603	555	545
604	900	890
605	37	27
606	729	719
607	586	576
608	842	832
609	20	10
610	181	171
611	545	535
612	732	722
613	462	452
614	388	378
615	909	899
616	115	105
617	482	472
618	650	640
619	589	579
620	819	809
621	440	430
622	277	267
623	244	234
624	662	652
625	991	981
626	539	529
627	622	612
628	967	957
629	240	230
630	58	48
631	683	673
632	904	894
633	133	123
634	817	807
635	778	768
636	679	669
637	295	285
638	354	344
639	667	657
640	188	178
641	677	667
642	804	794
643	976	966
644	399	389
645	707	697
646	703	693
647	962	952
648	389	379
649	794	784
650	992	982
651	835	825
652	189	179
653	570	560
654	433	423
655	368	358
656	451	441
657	393	383
658	673	663
659	784	774
660	942	932
661	459	449
662	103	93
663	178	168
664	658	648
665	280	270
666	88	78
667	252	242
668	942	932
669	896	886
670	620	610
671	635	625
672	351	341
673	590	580
674	970	960
675	865	855
676	997	987
677	566	556
678	715	705
679	93	83
680	26	16
681	556	546
682	244	234
683	446	436
684	987	977
685	447	437
686	223	213
687	766	756
688	842	832
689	427	417
690	765	755
691	346	336
692	395	385
693	160	150
694	1003	993
695	674	664
696	737	727
697	180	170
698	207	197
699	536	526
700	873	863
701	983	973
702	941	931
703	887	877
704	821	811
705	79	69
706	688	678
707	337	327
708	955	945
709	103	93
710	349	339
711	185	175
712	760	750
713	277	267
714	892	882
715	599	589
716	750	740
717	561	551
718	662	652
719	527	517
720	455	445
721	245	235
722	834	824
723	381	371
724	323	313
725	682	672
726	783	773
727	707	697
728	694	684
729	790	780
730	127	117
731	261	251
732	700	690
733	845	835
734	279	269
735	80	70
736	297	287
737	458	448
738	121	111
739	374	364
740	345	335
741	343	333
742	941	931
743	702	692
744	509	499
745	101	91
746	609	599
747	375	365
748	368	358
749	204	194
750	361	351
751	47	37
752	493	483
753	84	74
754	488	478
755	479	469
756	435	425
757	78	68
758	605	595
759	180	170
760	359	349
761	254	244
762	431	421
763	710	700
764	302	292
765	944	934
766	838	828
767	763	753
768	713	703
769	56	46
770	725	715
771	489	479
772	213	203
773	689	679
774	198	188
775	929	919
776	687	677
777	887	877
778	120	110
779	829	819
780	234	224
781	778	768
782	594	584
783	187	177
784	367	357
785	382	372
786	745	735
787	960	950
788	560	550
789	716	706
790	315	305
791	589	579
