KP_1000_uncorrelated
capacity	247588
nb_items	1000
item	value	weight
0	306	629
1	328	7
2	1000	3
3	942	772
4	273	808
5	42	408
6	142	248
7	245	132
8	120	797
9	750	275
10	248	355
11	472	716
12	445	717
13	176	844
14	603	584
15	550	933
16	180	404
17	125	707
18	617	959
19	314	800
20	181	647
21	570	185
22	598	986
23	629	159
24	838	392
25	956	696
26	996	349
27	203	559
28	522	686
29	161	150
30	573	420
31	868	258
32	672	218
33	550	190
34	991	224
35	688	377
36	194	459
37	21	558
38	602	72
39	624	430
40	151	491
41	894	926
42	134	523
43	869	380
44	821	675
45	270	215
46	14	188
47	817	313
48	871	452
49	682	717
50	442	797
51	850	998
52	736	158
53	136	782
54	871	311
55	689	826
56	54	826
57	600	211
58	773	507
59	473	294
60	904	272
61	732	667
62	95	593
63	426	163
64	561	448
65	145	760
66	270	873
67	485	637
68	926	824
69	604	104
70	75	581
71	56	853
72	312	930
73	469	506
74	345	496
75	937	91
76	178	492
77	543	558
78	842	51
79	495	150
80	400	458
81	517	704
82	754	73
83	975	666
84	222	542
85	502	459
86	35	687
87	621	590
88	845	370
89	18	765
90	616	258
91	603	285
92	600	68
93	318	339
94	810	986
95	516	266
96	117	331
97	582	5
98	795	67
99	524	2
100	476	136
101	530	817
102	251	441
103	505	351
104	111	787
105	511	926
106	869	176
107	84	228
108	558	755
109	220	571
110	762	508
111	429	326
112	253	905
113	588	3
114	931	164
115	304	224
116	372	40
117	376	618
118	745	236
119	470	586
120	158	748
121	249	910
122	779	63
123	619	263
124	266	924
125	135	255
126	337	889
127	602	184
128	661	184
129	697	5
130	5	314
131	629	623
132	491	91
133	535	447
134	993	909
135	338	129
136	888	80
137	484	202
138	365	898
139	738	494
140	291	643
141	504	311
142	601	800
143	366	155
144	64	295
145	973	216
146	925	738
147	577	597
148	301	868
149	91	915
150	419	404
151	261	294
152	551	131
153	960	446
154	967	653
155	470	568
156	82	419
157	650	623
158	65	180
159	330	843
160	251	923
161	536	448
162	802	45
163	359	960
164	780	39
165	614	473
166	29	687
167	718	913
168	829	462
169	501	330
170	103	383
171	832	328
172	526	287
173	1	340
174	756	955
175	980	863
176	455	290
177	969	37
178	156	245
179	71	803
180	85	276
181	834	886
182	402	87
183	586	714
184	939	69
185	648	72
186	207	80
187	129	638
188	157	122
189	853	284
190	143	686
191	987	25
192	247	33
193	193	734
194	166	205
195	843	976
196	974	522
197	230	544
198	650	751
199	770	292
200	740	880
201	109	126
202	230	912
203	260	477
204	404	329
205	965	928
206	408	685
207	941	124
208	333	814
209	191	448
210	363	612
211	458	381
212	293	396
213	728	892
214	809	874
215	558	231
216	165	477
217	950	187
218	600	396
219	719	598
220	977	591
221	444	342
222	99	600
223	423	166
224	193	139
225	388	919
226	354	312
227	213	873
228	75	722
229	131	201
230	400	956
231	458	654
232	488	777
233	729	396
234	445	233
235	840	753
236	570	525
237	82	412
238	520	886
239	130	697
240	870	684
241	625	841
242	52	168
243	363	445
244	839	754
245	952	860
246	988	11
247	872	51
248	115	991
249	513	431
250	940	63
251	205	362
252	374	574
253	94	61
254	413	262
255	509	422
256	903	384
257	55	116
258	1	373
259	458	137
260	458	988
261	547	401
262	721	151
263	615	711
264	773	152
265	413	1000
266	338	309
267	154	671
268	313	566
269	503	456
270	769	289
271	151	654
272	994	78
273	701	601
274	20	751
275	589	841
276	164	955
277	161	574
278	67	318
279	937	625
280	816	206
281	968	115
282	138	216
283	125	7
284	294	472
285	685	189
286	640	167
287	601	589
288	442	252
289	157	511
290	537	63
291	914	733
292	506	843
293	274	1
294	121	726
295	213	118
296	506	582
297	724	473
298	1	218
299	366	471
300	174	389
301	35	209
302	398	162
303	969	574
304	940	179
305	972	549
306	645	638
307	268	353
308	684	667
309	57	459
310	517	560
311	605	346
312	459	895
313	792	86
314	960	316
315	853	685
316	956	943
317	173	460
318	954	586
319	71	322
320	993	265
321	62	868
322	731	918
323	223	378
324	330	178
325	56	687
326	14	308
327	795	296
328	996	112
329	330	941
330	253	941
331	913	907
332	530	307
333	230	657
334	249	1000
335	758	313
336	622	418
337	695	507
338	562	539
339	15	89
340	61	967
341	991	173
342	985	749
343	728	163
344	640	126
345	384	580
346	298	363
347	774	410
348	942	492
349	914	936
350	170	523
351	929	534
352	524	302
353	169	85
354	814	222
355	73	982
356	716	929
357	242	574
358	266	361
359	870	872
360	171	77
361	451	716
362	711	114
363	534	150
364	461	738
365	445	517
366	584	650
367	239	656
368	150	791
369	755	553
370	340	26
371	145	369
372	256	289
373	156	593
374	333	671
375	731	754
376	621	488
377	949	535
378	152	831
379	666	996
380	36	913
381	443	883
382	64	296
383	525	307
384	926	141
385	985	194
386	986	291
387	31	678
388	282	273
389	943	25
390	161	714
391	527	3
392	893	399
393	180	706
394	503	382
395	794	204
396	909	199
397	715	317
398	903	744
399	504	503
400	363	517
401	151	962
402	742	866
403	903	583
404	163	849
405	867	182
406	879	871
407	248	658
408	117	19
409	176	71
410	914	860
411	549	904
412	558	500
413	788	300
414	630	819
415	531	132
416	666	567
417	355	326
418	223	140
419	274	775
420	877	310
421	695	378
422	726	895
423	528	2
424	655	127
425	424	808
426	275	801
427	887	244
428	9	760
429	918	63
430	381	850
431	101	380
432	993	37
433	696	970
434	650	798
435	501	644
436	961	311
437	389	256
438	795	159
439	114	30
440	163	950
441	218	982
442	79	151
443	54	807
444	825	801
445	895	225
446	966	558
447	327	540
448	653	271
449	899	824
450	748	331
451	523	518
452	901	408
453	229	197
454	851	263
455	40	382
456	368	128
457	283	510
458	134	44
459	388	498
460	906	667
461	17	359
462	627	400
463	934	933
464	487	148
465	777	788
466	111	902
467	992	415
468	133	862
469	355	399
470	77	160
471	78	641
472	440	667
473	234	100
474	915	334
475	709	499
476	501	646
477	119	999
478	532	152
479	580	55
480	814	587
481	77	626
482	809	49
483	19	132
484	752	559
485	994	772
486	632	860
487	798	980
488	452	214
489	273	649
490	912	181
491	538	806
492	964	550
493	40	36
494	781	624
495	753	998
496	344	857
497	53	711
498	642	820
499	35	551
500	361	409
501	276	470
502	848	618
503	772	316
504	624	53
505	488	123
506	410	313
507	474	998
508	168	321
509	287	391
510	512	173
511	163	861
512	180	838
513	754	64
514	527	928
515	944	696
516	910	923
517	66	242
518	659	525
519	240	89
520	859	599
521	463	984
522	323	8
523	7	813
524	423	144
525	726	966
526	12	185
527	930	394
528	872	335
529	711	621
530	970	625
531	269	290
532	134	960
533	567	428
534	544	578
535	157	648
536	386	661
537	476	835
538	728	480
539	116	228
540	834	339
541	794	786
542	655	780
543	323	82
544	364	100
545	481	43
546	107	584
547	362	759
548	384	268
549	143	263
550	667	910
551	662	844
552	932	87
553	105	364
554	901	627
555	505	968
556	438	288
557	879	596
558	617	560
559	437	694
560	39	638
561	764	807
562	257	923
563	2	465
564	33	671
565	392	955
566	636	522
567	65	899
568	70	166
569	495	895
570	575	88
571	737	191
572	534	310
573	649	958
