KP_20000_subset_sum
capacity	50259345
nb_items	20000
item	value	weight
0	3737	3737
1	9706	9706
2	2831	2831
3	8526	8526
4	8601	8601
5	8956	8956
6	6215	6215
7	8281	8281
8	2090	2090
9	205	205
10	1186	1186
11	6656	6656
12	5238	5238
13	2388	2388
14	2362	2362
15	5542	5542
16	5829	5829
17	4132	4132
18	4124	4124
19	6497	6497
20	8362	8362
21	8405	8405
22	4377	4377
23	6534	6534
24	4195	4195
25	1813	1813
26	3424	3424
27	8826	8826
28	2043	2043
29	6570	6570
30	8376	8376
31	8267	8267
32	9216	9216
33	7888	7888
34	5340	5340
35	2995	2995
36	4503	4503
37	2635	2635
38	7126	7126
39	2809	2809
40	2592	2592
41	4402	4402
42	9643	9643
43	4248	4248
44	3237	3237
45	2539	2539
46	7241	7241
47	9374	9374
48	1695	1695
49	3490	3490
50	4585	4585
51	6168	6168
52	1519	1519
53	7764	7764
54	2628	2628
55	73	73
56	8663	8663
57	6637	6637
58	5125	5125
59	1847	1847
60	6460	6460
61	6446	6446
62	4653	4653
63	4188	4188
64	5561	5561
65	8614	8614
66	8257	8257
67	5609	5609
68	9173	9173
69	7391	7391
70	7180	7180
71	8091	8091
72	8474	8474
73	9604	9604
74	8143	8143
75	1890	1890
76	8618	8618
77	5892	5892
78	3510	3510
79	2539	2539
80	2772	2772
81	7667	7667
82	7783	7783
83	5405	5405
84	8960	8960
85	423	423
86	3659	3659
87	3159	3159
88	6079	6079
89	3755	3755
90	5582	5582
91	9959	9959
92	1624	1624
93	2070	2070
94	232	232
95	8552	8552
96	1725	1725
97	2823	2823
98	4782	4782
99	9569	9569
100	7562	7562
101	7521	7521
102	9810	9810
103	7222	7222
104	3322	3322
105	2414	2414
106	7259	7259
107	3744	3744
108	3929	3929
109	9956	9956
110	8889	8889
111	8098	8098
112	2029	2029
113	7137	7137
114	3659	3659
115	419	419
116	1229	1229
117	7303	7303
118	507	507
119	7975	7975
120	1163	1163
121	6128	6128
122	7324	7324
123	5583	5583
124	2566	2566
125	2893	2893
126	2566	2566
127	8797	8797
128	3037	3037
129	7141	7141
130	2863	2863
131	7778	7778
132	6652	6652
133	7169	7169
134	6486	6486
135	5280	5280
136	6222	6222
137	6756	6756
138	908	908
139	4214	4214
140	8556	8556
141	1146	1146
142	4741	4741
143	150	150
144	5826	5826
145	9079	9079
146	2869	2869
147	2746	2746
148	36	36
149	5720	5720
150	7188	7188
151	6764	6764
152	827	827
153	9474	9474
154	2745	2745
