KP_20000_weakly_correlated
capacity	49975540
nb_items	20000
item	value	weight
0	8703	9062
1	6633	7520
2	906	292
3	524	404
4	9423	9872
5	5248	4347
6	1249	410
7	2970	2150
8	4453	3693
9	9985	9767
10	6456	6357
11	7978	8911
12	7315	7282
13	8137	7428
14	1928	2254
15	1061	995
16	8201	7850
17	6413	5484
18	1153	721
19	6630	5778
20	3978	4523
21	1840	1484
22	957	297
23	4304	3660
24	9276	8545
25	6893	5974
26	40	125
27	1647	1657
28	3879	3903
29	2537	1842
30	9366	9860
31	5992	6504
32	10366	9830
33	3520	3377
34	5788	5635
35	9431	8439
36	6597	5742
37	4421	4763
38	5205	5614
39	3007	3780
40	3999	4914
41	9588	9062
42	6588	5838
43	8508	9302
44	7817	7221
45	3105	2935
46	8199	7561
47	1866	1410
48	9660	9415
49	2140	3005
50	3050	3139
51	5332	4932
52	4721	5055
53	6205	6045
54	9443	9554
55	9667	9741
56	5652	5744
57	973	1245
58	840	957
59	8637	8376
60	810	1383
61	6078	6540
62	7932	7541
63	5724	5992
64	7367	7583
65	6453	5863
66	4669	5370
67	8332	7350
68	4099	3954
69	1601	1037
70	9741	9862
71	1733	1526
72	155	1096
73	952	1742
74	1624	1102
75	5341	4387
76	3844	3665
77	9394	8943
78	2702	2427
79	5966	5192
80	7095	6143
81	10210	9281
82	4552	4502
83	3021	2905
84	8894	8879
85	5472	5005
86	2682	1906
87	3480	3467
88	3562	2665
89	684	898
90	8528	8679
91	9577	8749
92	3779	4203
93	1762	1876
94	4477	3956
95	1864	1809
96	3986	4473
97	4471	4627
98	1112	850
99	2069	2587
100	5241	5011
101	6222	6999
102	6394	6964
103	341	562
104	1304	1786
105	1042	1007
106	4608	4281
107	1139	678
108	1866	2845
109	5216	5205
110	7693	8596
111	2322	2913
112	3075	3312
113	9474	8562
114	8799	9036
115	2650	2058
116	3746	3545
117	7221	6261
118	4832	5091
119	6067	6907
120	161	149
121	3030	3097
122	8607	9331
123	7304	8246
124	4827	5653
125	4613	3950
126	1035	336
127	3258	3791
128	3232	2901
129	9689	8907
130	1260	650
131	7888	7885
132	4782	5496
133	4629	4844
134	9143	9816
135	1026	1957
136	8818	9731
137	1197	612
138	6572	7206
139	7822	7886
140	7197	7791
141	2427	2186
142	9144	8888
143	1085	1518
144	5953	6001
145	7504	6963
146	2568	2413
147	7261	7992
148	4401	4105
149	1588	639
150	2909	3901
151	4669	4452
152	2844	2354
153	8371	8759
154	9070	9461
155	991	845
156	8379	7634
157	1878	1858
158	10246	9506
159	3494	4428
160	7543	8161
161	10200	9388
162	8623	8872
163	5538	5561
164	3481	4206
165	113	719
166	4193	3848
167	9503	9897
168	8804	8354
169	2629	2901
170	7541	8205
171	6822	6074
172	2976	2837
173	2036	1659
174	8458	8266
175	3464	3792
176	2818	3168
177	4095	3241
178	1324	587
179	228	867
180	3717	4612
181	727	1667
182	6664	7169
183	4020	4149
184	7075	7987
185	7254	8017
186	8999	8828
187	400	446
188	10052	9445
189	3665	3967
190	7645	7675
191	8740	7849
192	3587	4328
193	1937	2673
194	3638	3882
195	10524	9570
196	4245	3666
197	4940	4257
198	2664	3612
199	7881	7356
200	8435	8244
201	8161	7549
202	828	642
203	2148	2428
204	7940	7636
205	6859	6995
206	493	279
207	4886	5747
208	3971	3560
209	5005	4598
210	7708	8655
211	4150	3955
212	259	943
213	2568	2684
214	3108	2228
215	979	307
216	187	513
217	448	684
218	7134	7408
219	5190	5717
220	9430	9233
221	8550	8233
222	7522	7540
