KP_100000_uncorrelated
capacity	25089394
nb_items	100000
item	value	weight
0	967	824
1	817	632
2	652	844
3	848	556
4	558	681
5	659	414
6	244	783
7	453	442
8	826	908
9	232	42
10	140	254
11	418	157
12	724	664
13	917	597
14	129	525
15	174	206
16	660	761
17	745	776
18	191	189
19	169	729
20	990	227
21	232	368
22	635	57
23	20	214
24	922	383
25	591	71
26	427	75
27	563	457
28	155	284
29	233	845
30	550	733
31	160	305
32	718	101
33	640	416
34	559	579
35	477	131
36	914	299
37	606	949
38	808	678
39	63	457
40	349	981
41	446	799
42	397	421
43	988	836
44	517	240
45	621	867
46	787	287
47	682	44
48	349	832
49	290	70
50	597	479
51	522	159
52	83	927
53	947	63
54	938	341
55	857	583
56	923	343
57	480	168
58	439	209
59	64	969
60	47	564
61	406	229
62	251	229
63	875	456
64	673	72
65	14	380
66	358	399
67	963	831
68	971	47
69	972	843
70	224	565
71	98	884
72	220	305
73	222	284
74	444	507
75	290	598
76	115	170
77	249	434
78	569	979
79	111	309
80	859	755
81	590	340
82	302	27
83	73	597
84	169	222
85	247	772
86	896	337
87	930	535
88	473	572
89	937	381
90	732	422
91	574	820
92	925	37
93	257	315
94	56	848
95	822	131
96	438	988
97	130	534
98	720	724
99	128	945
100	827	182
101	478	749
102	58	282
103	587	483
104	558	451
105	638	237
106	914	199
107	294	565
108	541	203
109	949	625
110	924	273
111	734	348
112	809	971
113	245	266
114	480	680
115	503	810
116	450	731
117	688	104
118	563	75
119	519	817
120	769	664
121	539	378
122	607	754
123	218	231
124	188	964
125	179	245
126	986	530
127	67	698
128	522	603
129	562	169
130	554	86
131	531	107
132	589	652
133	457	715
134	939	83
135	742	896
136	333	129
137	885	930
138	330	424
139	715	572
140	710	551
141	672	764
142	536	546
143	903	891
144	481	822
145	327	909
146	165	605
147	209	790
148	94	29
149	251	692
150	677	627
151	670	139
152	717	297
153	867	990
154	656	140
155	483	142
156	281	312
157	633	688
158	161	173
159	115	414
160	881	1000
161	232	278
162	204	435
163	136	929
164	998	171
165	780	431
166	793	560
167	225	604
168	41	672
169	439	813
170	403	766
171	229	934
172	163	93
173	282	837
174	122	125
175	389	55
176	209	404
177	723	690
178	304	984
179	527	825
180	452	686
181	20	974
182	1000	170
183	709	128
184	491	436
185	262	554
186	977	94
187	423	98
188	856	387
189	628	484
190	64	153
191	297	238
192	984	211
193	443	189
194	145	761
195	452	929
196	15	221
197	385	651
198	67	262
199	737	935
200	673	746
201	612	739
202	334	277
203	471	567
204	397	874
205	190	31
206	567	568
207	260	896
208	357	651
209	675	143
210	937	266
211	233	844
212	532	998
213	466	119
214	692	680
215	196	72
216	747	200
217	371	515
218	632	429
219	548	264
220	47	225
221	169	573
222	702	642
223	932	589
224	306	581
225	754	876
226	108	256
227	732	70
228	852	240
229	817	645
230	124	968
231	46	104
232	678	977
233	665	195
234	12	318
235	891	875
236	199	338
237	512	214
238	42	348
239	308	398
240	186	308
241	468	554
242	647	886
243	463	387
244	756	940
245	609	410
246	194	260
247	795	408
248	602	183
249	977	992
250	638	511
251	257	150
252	597	235
253	442	981
254	922	341
255	313	80
256	960	373
257	3	881
258	467	873
259	883	459
260	552	427
261	364	899
262	88	909
263	262	710
264	692	493
265	96	997
266	12	274
267	297	473
268	841	342
269	344	879
270	747	585
271	667	193
272	307	719
273	760	610
274	412	593
275	801	638
276	542	131
277	381	406
278	301	411
279	655	856
280	22	242
281	715	277
282	465	950
283	783	408
284	606	431
285	127	299
286	795	955
287	643	302
288	666	228
289	101	115
290	288	558
291	405	148
292	443	750
