KP_1000_strongly_correlated
capacity	249376
nb_items	1000
item	value	weight
0	84	74
1	665	655
2	641	631
3	111	101
4	96	86
5	398	388
6	387	377
7	76	66
8	313	303
9	97	87
10	833	823
11	943	933
12	185	175
13	229	219
14	450	440
15	361	351
16	412	402
17	497	487
18	202	192
19	287	277
20	122	112
21	888	878
22	166	156
23	394	384
24	794	784
25	214	204
26	562	552
27	1009	999
28	65	55
29	903	893
30	371	361
31	27	17
32	882	872
33	627	617
34	100	90
35	588	578
36	949	939
37	402	392
38	235	225
39	924	914
40	423	413
41	252	242
42	884	874
43	713	703
44	487	477
45	438	428
46	316	306
47	565	555
48	659	649
49	418	408
50	180	170
51	407	397
52	687	677
53	375	365
54	150	140
55	571	561
56	787	777
57	55	45
58	1007	997
59	816	806
60	868	858
61	277	267
62	135	125
63	505	495
64	462	452
65	331	321
66	846	836
67	295	285
68	844	834
69	842	832
70	436	426
71	937	927
72	852	842
73	906	896
74	991	981
75	622	612
76	247	237
77	767	757
78	47	37
79	515	505
80	357	347
81	950	940
82	561	551
83	801	791
84	57	47
85	58	48
86	308	298
87	747	737
88	468	458
89	682	672
90	322	312
91	851	841
92	318	308
93	976	966
94	286	276
95	542	532
96	216	206
97	22	12
98	37	27
99	303	293
100	536	526
101	643	633
102	705	695
103	755	745
104	371	361
105	751	741
106	142	132
107	69	59
108	844	834
109	503	493
110	266	256
111	231	221
112	324	314
113	865	855
114	804	794
115	840	830
116	464	454
117	978	968
118	534	524
119	815	805
120	402	392
121	698	688
122	385	375
123	498	488
124	635	625
125	375	365
126	292	282
127	47	37
128	135	125
129	101	91
130	195	185
131	384	374
132	318	308
133	322	312
134	703	693
135	166	156
136	1004	994
137	228	218
138	852	842
139	156	146
140	654	644
141	130	120
142	724	714
143	906	896
144	675	665
145	330	320
146	237	227
147	748	738
148	148	138
149	865	855
150	575	565
151	602	592
152	418	408
153	774	764
154	107	97
155	907	897
156	795	785
157	949	939
158	139	129
159	549	539
160	48	38
161	849	839
162	711	701
163	971	961
164	503	493
165	460	450
166	545	535
167	575	565
168	558	548
169	685	675
170	441	431
171	303	293
172	682	672
173	699	689
174	208	198
175	447	437
176	231	221
177	67	57
178	895	885
179	640	630
180	898	888
181	645	635
182	48	38
183	884	874
184	407	397
185	624	614
186	979	969
187	66	56
188	747	737
189	692	682
190	82	72
191	322	312
192	532	522
193	292	282
194	356	346
195	36	26
196	276	266
197	849	839
198	73	63
199	612	602
200	551	541
201	242	232
202	874	864
203	636	626
204	954	944
205	914	904
206	529	519
207	653	643
208	685	675
209	967	957
210	15	5
211	659	649
212	491	481
213	862	852
214	923	913
215	44	34
216	379	369
217	38	28
218	160	150
219	793	783
220	117	107
221	289	279
222	385	375
223	798	788
224	823	813
225	662	652
226	537	527
227	494	484
228	112	102
229	397	387
230	392	382
231	435	425
232	690	680
233	555	545
234	903	893
235	52	42
236	896	886
237	79	69
238	516	506
239	834	824
240	643	633
241	939	929
242	807	797
243	478	468
244	343	333
245	812	802
246	367	357
247	500	490
248	69	59
249	295	285
250	117	107
251	269	259
252	710	700
253	920	910
254	706	696
255	784	774
256	64	54
257	569	559
258	993	983
259	360	350
260	629	619
261	290	280
262	998	988
263	137	127
264	40	30
265	869	859
266	260	250
267	1004	994
268	437	427
269	949	939
270	204	194
271	782	772
272	841	831
273	17	7
274	735	725
275	394	384
276	879	869
277	787	777
278	367	357
279	878	868
280	320	310
281	753	743
282	810	800
283	97	87
284	68	58
285	227	217
286	883	873
287	606	596
288	403	393
289	751	741
290	305	295
291	218	208
292	374	364
293	603	593
294	360	350
295	451	441
296	416	406
297	214	204
298	322	312
299	251	241
300	654	644
301	469	459
302	913	903
303	734	724
304	193	183
305	204	194
306	697	687
307	90	80
308	203	193
309	530	520
310	19	9
311	780	770
312	247	237
313	801	791
314	715	705
315	721	711
316	315	305
317	585	575
318	859	849
319	375	365
320	650	640
321	701	691
322	488	478
323	420	410
324	666	656
325	87	77
326	809	799
327	275	265
328	71	61
329	797	787
330	593	583
331	230	220
332	849	839
333	569	559
334	890	880
335	213	203
336	202	192
337	911	901
338	873	863
339	232	222
340	832	822
341	763	753
342	277	267
343	143	133
344	988	978
345	714	704
346	464	454
347	96	86
348	886	876
349	743	733
350	865	855
351	991	981
352	171	161
353	881	871
354	25	15
355	92	82
356	560	550
357	950	940
358	471	461
359	386	376
360	266	256
361	88	78
362	425	415
363	412	402
364	844	834
365	797	787
366	501	491
367	950	940
368	401	391
369	131	121
370	809	799
371	249	239
372	891	881
373	316	306
374	821	811
375	550	540
376	357	347
377	360	350
378	795	785
379	728	718
380	935	925
381	860	850
382	389	379
383	17	7
384	675	665
385	231	221
386	888	878
387	271	261
388	729	719
389	442	432
390	192	182
391	568	558
392	177	167
393	615	605
394	939	929
395	198	188
396	520	510
397	453	443
398	70	60
399	377	367
400	456	446
401	951	941
402	323	313
403	480	470
404	185	175
405	962	952
406	876	866
407	37	27
408	13	3
409	442	432
410	82	72
411	486	476
412	528	518
413	615	605
414	858	848
415	638	628
416	941	931
417	662	652
418	377	367
419	671	661
420	897	887
421	917	907
422	785	775
423	457	447
424	882	872
425	916	906
426	451	441
427	1006	996
428	112	102
429	812	802
430	934	924
431	123	113
432	112	102
433	310	300
434	513	503
435	396	386
436	153	143
437	862	852
438	144	134
439	327	317
440	670	660
441	697	687
442	577	567
443	958	948
444	592	582
445	622	612
446	397	387
447	228	218
448	884	874
449	133	123
450	557	547
