KP_100_subset_sum
capacity	25425
nb_items	100
item	value	weight
0	499	499
1	357	357
2	738	738
3	441	441
4	347	347
5	153	153
6	61	61
7	855	855
8	275	275
9	690	690
10	665	665
11	742	742
12	958	958
13	343	343
14	886	886
15	931	931
16	242	242
17	648	648
18	62	62
19	956	956
20	666	666
21	345	345
22	149	149
23	91	91
24	63	63
25	843	843
26	115	115
27	522	522
28	872	872
29	208	208
30	802	802
31	564	564
32	203	203
33	831	831
34	577	577
35	630	630
36	23	23
37	930	930
38	863	863
39	829	829
40	676	676
41	730	730
42	28	28
43	80	80
44	488	488
45	735	735
46	113	113
47	84	84
48	775	775
49	752	752
50	882	882
51	973	973
52	175	175
53	669	669
54	387	387
55	45	45
56	419	419
57	687	687
58	731	731
59	295	295
60	553	553
61	114	114
62	327	327
63	966	966
64	178	178
65	906	906
66	519	519
67	451	451
68	631	631
69	789	789
70	632	632
71	719	719
72	953	953
73	195	195
74	801	801
75	892	892
76	103	103
77	69	69
78	771	771
79	473	473
80	224	224
81	745	745
82	590	590
83	607	607
84	1	1
85	360	360
86	806	806
87	637	637
88	356	356
89	94	94
90	168	168
91	1000	1000
92	197	197
93	67	67
94	770	770
95	593	593
96	900	900
97	534	534
98	167	167
99	294	294
