KP_100_weakly_correlated
capacity	25136
nb_items	100
item	value	weight
0	797	853
1	707	746
2	65	86
3	991	991
4	713	778
5	954	898
6	170	248
7	154	200
8	264	225
9	878	868
10	949	914
11	647	744
12	175	100
13	665	641
14	971	968
15	564	490
16	404	413
17	5	23
18	179	187
19	348	442
20	987	970
21	560	520
22	439	340
23	763	687
24	128	140
25	878	809
26	840	853
27	439	460
28	174	173
29	541	530
30	448	402
31	135	205
32	419	492
33	449	517
34	316	330
35	421	459
36	424	416
37	1012	936
38	366	401
39	853	917
40	718	723
41	709	761
42	410	342
43	127	63
44	904	933
45	542	629
46	574	506
47	83	99
48	1045	976
49	900	903
50	439	405
51	191	258
52	211	293
53	201	211
54	700	747
55	885	840
56	106	75
57	859	827
58	351	296
59	492	433
60	159	136
61	701	739
62	313	222
63	882	867
64	386	338
65	588	622
66	476	379
67	635	575
68	374	472
69	897	976
70	626	691
71	905	835
72	233	184
73	376	407
74	559	588
75	906	939
76	724	818
77	615	705
78	305	233
79	869	963
80	512	511
81	57	58
82	541	495
83	255	306
84	187	260
85	949	860
86	274	212
87	993	961
88	28	21
89	127	99
90	324	366
91	1	73
92	262	211
93	114	18
94	459	429
95	687	611
96	429	434
97	212	224
98	133	137
99	597	605
